current_path,file_type,current_role,entry_point,imported_by,reads,writes,test_coverage,stability,proposed_action,proposed_target,migration_phase,compatibility_requirement,risk,notes
.claude_resources.json,config,historical resource snapshot,no,,,,,stable,ARCHIVE,docs/experiments/environment/.claude_resources.json,0D,retain hashes/history,LOW,read during Phase 0A
.claude_resources_exp3.json,config,historical resource snapshot,no,,,,,stable,ARCHIVE,docs/experiments/environment/.claude_resources_exp3.json,0D,retain hashes/history,LOW,read during Phase 0A
.codex_resources_20260604_tail_moment.json,config,historical resource snapshot,no,,,,,stable,ARCHIVE,docs/experiments/environment/.codex_resources_20260604_tail_moment.json,0D,retain hashes/history,LOW,read during Phase 0A
.codex_resources_prior_vs_tcn.json,config,historical resource snapshot,no,,,,,stable,ARCHIVE,docs/experiments/environment/.codex_resources_prior_vs_tcn.json,0D,retain hashes/history,LOW,read during Phase 0A
.codex_resources_smooth_stall.json,config,historical resource snapshot,no,,,,,stable,ARCHIVE,docs/experiments/environment/.codex_resources_smooth_stall.json,0D,retain hashes/history,LOW,read during Phase 0A
.gitignore,text,ignore policy,no,,,,,stable,REVIEW,.gitignore,0D,none,HIGH,no Phase 0B modification; decide only after the legacy-root ADR and retention policy
AGENTS.md,markdown,repository skill policy only,no,,,,,stable,REVIEW,AGENTS.md,0B,none,HIGH,missing repository invariants; do not change in Phase 0A
docs/2026-03-23-flapping-aircraft-metadata-contract-draft.md,markdown,documentation,no,,,,,stable,REVIEW,docs/2026-03-23-flapping-aircraft-metadata-contract-draft.md,0B,none,HIGH,read-only Phase 0B source; do not move or modify; reconcile facts into separately allowlisted contracts
docs/2026-03-23-flapping-dataset-contract-draft.md,markdown,documentation,no,,,,,stable,REVIEW,docs/2026-03-23-flapping-dataset-contract-draft.md,0B,none,HIGH,read-only Phase 0B source; do not move or modify; reconcile facts into separately allowlisted contracts
docs/2026-03-23-flapping-system-identification-overview-and-plan.md,markdown,documentation,no,,,,,stable,ARCHIVE,docs/experiments/history/2026-03-23-flapping-system-identification-overview-and-plan.md,0D,none,LOW,read during Phase 0A
docs/2026-03-23-ulg-to-canonical-parquet-preprocessing-spec.md,markdown,documentation,no,,,,,stable,REVIEW,docs/2026-03-23-ulg-to-canonical-parquet-preprocessing-spec.md,0B,none,HIGH,read-only Phase 0B source; do not move or modify; reconcile facts into separately allowlisted contracts
docs/PROJECT_STATE.md,markdown,documentation,no,,,,,stable,KEEP,docs/PROJECT_STATE.md,0B,none,MEDIUM,current but very sparse state index
docs/analysis/manifests/wing_wrench_theta_sweep_test_windows_20260714.csv,csv,documentation,no,,,,,stable,MOVE,docs/experiments/analysis/manifests/wing_wrench_theta_sweep_test_windows_20260714.csv,0D,none,LOW,read during Phase 0A
docs/analysis/wing_wrench_theta_sweep.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/analysis/wing_wrench_theta_sweep.md,0D,none,LOW,read during Phase 0A
docs/insights/research-narrative-notes.md,markdown,documentation,no,,,,,stable,REVIEW,docs/design/research-narrative-notes.md,0D,none,MEDIUM,read-only Phase 0B input if needed; any move is deferred to legacy/document-status decisions
docs/insights/whole-log-group-kfold-reporting-protocol.md,markdown,documentation,no,,,,,stable,REVIEW,docs/design/whole-log-group-kfold-reporting-protocol.md,0D,none,MEDIUM,read-only Phase 0B input if needed; any move is deferred to legacy/document-status decisions
docs/plans/2026-03-23-effective-wrench-labels-implementation-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-03-23-effective-wrench-labels-implementation-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-03-23-ulg-to-canonical-parquet-implementation-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-03-23-ulg-to-canonical-parquet-implementation-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-04-12-complete-dataset-checklist.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-04-12-complete-dataset-checklist.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-04-14-dataset-log-admission-tracker.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-04-14-dataset-log-admission-tracker.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-04-16-baseline-training-design.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-04-16-baseline-training-design.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-04-16-baseline-training-implementation-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-04-16-baseline-training-implementation-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-04-16-cycle-block-split-design.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-04-16-cycle-block-split-design.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-04-16-cycle-block-split-implementation-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-04-16-cycle-block-split-implementation-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-04-16-training-diagnostics-ablation-implementation-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-04-16-training-diagnostics-ablation-implementation-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-04-30-direct-log-paper-feature-set-implementation-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-04-30-direct-log-paper-feature-set-implementation-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-04-30-hybrid-pfnn-reproduction-implementation-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-04-30-hybrid-pfnn-reproduction-implementation-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-04-30-label-noise-improvement-implementation-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-04-30-label-noise-improvement-implementation-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-04-30-paper-style-log-split-training-implementation-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-04-30-paper-style-log-split-training-implementation-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-06-forward-causal-sequence-asl-implementation-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-06-forward-causal-sequence-asl-implementation-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-06-leakage-resistant-baseline-protocol.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-06-leakage-resistant-baseline-protocol.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-06-subnet-wrench-three-stage-implementation-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-06-subnet-wrench-three-stage-implementation-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-07-lateral-diagnostics-two-batch-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-07-lateral-diagnostics-two-batch-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-07-tcn-gru-focused-sweep-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-07-tcn-gru-focused-sweep-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-07-temporal-backbone-screening-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-07-temporal-backbone-screening-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-07-transformer-focused-sweep-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-07-transformer-focused-sweep-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-08-phase-conditioned-film-no-suspect-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-08-phase-conditioned-film-no-suspect-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-08-phase-harmonic-encoding-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-08-phase-harmonic-encoding-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-13-delaurier-residual-condition-analysis.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-13-delaurier-residual-condition-analysis.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-13-delaurier-residual-frequency-analysis.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-13-delaurier-residual-frequency-analysis.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-13-delaurier-residual-phase-analysis.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-13-delaurier-residual-phase-analysis.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-13-residual-delaurier-nn.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-13-residual-delaurier-nn.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-25-residual-guided-delaurier-greybox-force-arm-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-25-residual-guided-delaurier-greybox-force-arm-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-26-component-residual-attribution-diagnostic-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-26-component-residual-attribution-diagnostic-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-26-deployable-wrench-correction-v2-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-26-deployable-wrench-correction-v2-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-27-phase-structured-wrench-correction.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-27-phase-structured-wrench-correction.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-27-short-horizon-replay-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-27-short-horizon-replay-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-28-rotational-oracle-replay-diagnostics-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-28-rotational-oracle-replay-diagnostics-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-05-28-smoothed-time-aligned-wrench-labels-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-05-28-smoothed-time-aligned-wrench-labels-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-06-02-measured-massprops-dataset-and-bc-rerun-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-06-02-measured-massprops-dataset-and-bc-rerun-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-06-03-delaurier-prior-alignment-and-convention-fix-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-06-03-delaurier-prior-alignment-and-convention-fix-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-06-03-flap-ratio-8-pipeline-rebuild-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-06-03-flap-ratio-8-pipeline-rebuild-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-06-04-wing-tail-my-alignment-sweep-plan.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-06-04-wing-tail-my-alignment-sweep-plan.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-07-03-prior-regression-calibration-exp2.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-07-03-prior-regression-calibration-exp2.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-07-07-prior-tcn-sample-efficiency-capacity.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-07-07-prior-tcn-sample-efficiency-capacity.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-07-07-prior-vs-tcn-comparison.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-07-07-prior-vs-tcn-comparison.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-07-14-wing-wrench-theta-sweep-design.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-07-14-wing-wrench-theta-sweep-design.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/results/2026-05-06-causal-sequence-baseline-comparison.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-06-causal-sequence-baseline-comparison.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-06-subnet-three-stage-comparison.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-06-subnet-three-stage-comparison.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-07-tcn-gru-focused-sweep.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-07-tcn-gru-focused-sweep.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-07-temporal-backbone-screening.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-07-temporal-backbone-screening.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-07-transformer-focused-sweep.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-07-transformer-focused-sweep.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-07-transformer-training-tricks.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-07-transformer-training-tricks.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-08-head-film-sanity-checks.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-08-head-film-sanity-checks.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-08-lateral-diagnostics-best-transformer.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-08-lateral-diagnostics-best-transformer.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-08-phase-conditioned-film-no-suspect.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-08-phase-conditioned-film-no-suspect.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-08-phase-harmonic-encoding.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-08-phase-harmonic-encoding.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-11-fyb-learnability-diagnostics.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-11-fyb-learnability-diagnostics.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-11-fyb-smoothed-target-training.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-11-fyb-smoothed-target-training.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-11-fyb-target-generation-sensitivity.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-11-fyb-target-generation-sensitivity.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-11-lateral-smoothed-target-training.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-11-lateral-smoothed-target-training.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-12-frequency-resolved-backbone-comparison.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-12-frequency-resolved-backbone-comparison.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-12-history-length-sweep.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-12-history-length-sweep.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-12-lateral-retained-energy-analysis.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-12-lateral-retained-energy-analysis.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-12-temporal-order-ablation.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-12-temporal-order-ablation.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-13-delaurier-residual-nn-gpu.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-13-delaurier-residual-nn-gpu.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-25-residual-guided-delaurier-greybox-force-arm.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-25-residual-guided-delaurier-greybox-force-arm.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-26-component-residual-attribution-diagnostic.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-26-component-residual-attribution-diagnostic.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-26-deployable-wrench-correction-v2.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-26-deployable-wrench-correction-v2.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-27-oracle-short-horizon-replay.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-27-oracle-short-horizon-replay.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-27-phase-structured-wrench-correction.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-27-phase-structured-wrench-correction.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-28-rotational-oracle-replay-diagnostics.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-28-rotational-oracle-replay-diagnostics.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-28-sg0p03-residual-analysis-and-correction.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-28-sg0p03-residual-analysis-and-correction.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-28-smoothed-time-aligned-wrench-labels.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-28-smoothed-time-aligned-wrench-labels.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-28-smoothing-sweep-phase-spectrum-replay.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-28-smoothing-sweep-phase-spectrum-replay.md,0D,none,LOW,read during Phase 0A
docs/results/2026-06-04-wing-tail-my-alignment-sweep.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-06-04-wing-tail-my-alignment-sweep.md,0D,none,LOW,read during Phase 0A
inertia.png,image,unlocated/undocumented image asset,no,,,,,stable,REVIEW,docs/experiments/history/inertia.png,0D,none,MEDIUM,provenance and consumers not confirmed; do not delete
metadata/aircraft/flapper_01/aircraft_metadata.yaml,config,aircraft metadata/configuration,no,,,,,stable,KEEP,metadata/aircraft/flapper_01/aircraft_metadata.yaml,0C3,none,HIGH,draft_in_use; schema/provenance validation required
metadata/aircraft/flapper_01/wing_geometry_isaaclab_3b5d4ec.csv,csv,aircraft metadata/configuration,no,,,,,stable,MOVE,metadata/aircraft/flapper_01/geometry/wing_geometry_isaaclab_3b5d4ec.csv,0C5,manifest/path alias,HIGH,read during Phase 0A
pyproject.toml,config,build/dependency/pytest config,no,,,,,stable,REVIEW,pyproject.toml,0C9,none,MEDIUM,no Phase 0B modification; review packaging and entry points with CLI/config migration
scripts/analyze_component_residual_attribution.py,python,analysis entry with reusable metrics/plot logic,yes,tests/test_component_residual_attribution.py,parquet,parquet;csv;JSON/text;figure,indirect/partial,mixed/experiment-specific,SPLIT,src/system_identification/evaluation/analyze_component_residual_attribution.py,0C8,preserve public helper imports until tests migrate,HIGH,read during Phase 0A; additional compatibility target: scripts/analysis/analyze_component_residual_attribution.py
scripts/analyze_delaurier_residual_conditions.py,python,analysis entry with reusable metrics/plot logic,yes,scripts/run_delaurier_force_recalibration.py;scripts/train_delaurier_greybox_force_correction.py;tests/test_analyze_delaurier_residual_conditions.py,parquet,csv;JSON/text;figure,tests/test_analyze_delaurier_residual_conditions.py,mixed/experiment-specific,SPLIT,src/system_identification/evaluation/analyze_delaurier_residual_conditions.py,0C8,preserve public helper imports until tests migrate,HIGH,read during Phase 0A; additional compatibility target: scripts/analysis/analyze_delaurier_residual_conditions.py
scripts/analyze_delaurier_residual_frequency.py,python,analysis entry with reusable metrics/plot logic,yes,scripts/analyze_nested_prior_shaping_ablation_exp1_diagnostics.py;scripts/analyze_prior_nonlinear_calibration_exp3_diagnostics.py;scripts/analyze_prior_regression_calibration_exp2_diagnostics.py;scripts/run_delaurier_force_recalibration.py;scripts/train_delaurier_greybox_force_correction.py;tests/test_analyze_delaurier_residual_frequency.py,parquet,csv;JSON/text;figure,tests/test_analyze_delaurier_residual_frequency.py,mixed/experiment-specific,SPLIT,src/system_identification/evaluation/analyze_delaurier_residual_frequency.py,0C8,preserve public helper imports until tests migrate,HIGH,read during Phase 0A; additional compatibility target: scripts/analysis/analyze_delaurier_residual_frequency.py
scripts/analyze_delaurier_residual_phase.py,python,analysis entry with reusable metrics/plot logic,yes,scripts/analyze_nested_prior_shaping_ablation_exp1_diagnostics.py;scripts/analyze_prior_nonlinear_calibration_exp3_diagnostics.py;scripts/analyze_prior_regression_calibration_exp2_diagnostics.py;scripts/run_delaurier_force_recalibration.py;scripts/train_delaurier_greybox_force_correction.py;tests/test_analyze_delaurier_residual_phase.py,parquet,csv;JSON/text;figure,tests/test_analyze_delaurier_residual_phase.py,mixed/experiment-specific,SPLIT,src/system_identification/evaluation/analyze_delaurier_residual_phase.py,0C8,preserve public helper imports until tests migrate,HIGH,read during Phase 0A; additional compatibility target: scripts/analysis/analyze_delaurier_residual_phase.py
scripts/analyze_lateral_retained_energy.py,python,analysis entry with reusable metrics/plot logic,yes,tests/test_lateral_retained_energy.py,parquet;text,csv;JSON/text;figure,indirect/partial,mixed/experiment-specific,SPLIT,src/system_identification/evaluation/analyze_lateral_retained_energy.py,0C8,preserve public helper imports until tests migrate,HIGH,read during Phase 0A; additional compatibility target: scripts/analysis/analyze_lateral_retained_energy.py
